objid,ra,dec,u,g,r,i,z,run,rerun,camcol,field,specobjid,redshift,plate,mjd,fiberid,class
1.24E+18,348.9025302,1.271886249,19.38905,18.24496,17.58728,17.20807,16.90905,94,301,6,94,4.30E+17,0.03212454,382,51816,368,GALAXY
1.24E+18,51.443695,1.270072718,19.52808,17.96541,17.03493,16.53754,16.14154,94,301,6,512,4.66E+17,0.1213151,414,51869,410,GALAXY
1.24E+18,51.48358352,1.272012673,18.72268,17.3852,16.81134,16.51803,16.29502,94,301,6,512,4.66E+17,0.04876465,414,51869,401,GALAXY
1.24E+18,49.62748512,-1.04176915,17.65612,16.17133,15.5894,15.3785,15.26744,109,301,1,100,1.71E+18,-9.77E-05,1515,52932,208,STAR
1.24E+18,40.28569041,-0.714956628,17.54884,15.75164,15.031,14.66728,14.36099,109,301,2,37,4.59E+17,0.04028672,408,51821,100,GALAXY
1.24E+18,40.27210524,-0.642510266,19.23401,17.5333,16.8743,16.63157,16.49762,109,301,2,37,1.20E+18,-5.22E-05,1070,52591,114,STAR
1.24E+18,40.58203234,0.134770091,18.64558,16.44336,15.52452,15.18185,14.98858,109,301,4,39,8.25E+18,0.000177167,7330,56684,997,STAR
1.24E+18,57.02533658,0.208844996,17.61444,16.17125,15.52131,15.15564,14.86996,109,301,4,149,1.40E+18,0.0254747,1242,52901,439,GALAXY
1.24E+18,57.04705243,0.084304263,19.46874,18.18264,17.59063,17.26436,16.95295,109,301,4,149,1.72E+18,0.03616738,1529,52930,366,GALAXY
1.24E+18,57.28161521,0.01876788,16.4848,14.92993,14.56054,14.53054,14.19394,109,301,4,151,1.40E+18,-0.000142152,1242,52901,476,STAR
1.24E+18,57.51210371,0.084886619,18.83897,17.63091,17.09078,16.84627,16.71464,109,301,4,153,1.84E+18,8.89E-05,1633,52998,491,STAR
1.24E+18,57.6053753,0.027275112,18.21801,15.95427,14.95673,14.59481,14.36269,109,301,4,153,1.40E+18,-2.62E-05,1242,52901,495,STAR
1.24E+18,57.82499868,0.215608953,17.68076,17.32501,17.1707,17.08611,17.03252,109,301,4,155,1.40E+18,0.6822563,1242,52901,509,QSO
1.24E+18,57.94345784,0.059677764,16.93403,15.38486,14.69913,14.44319,14.33092,109,301,4,155,1.40E+18,0.000116609,1242,52901,544,STAR
1.24E+18,58.17545939,0.218693322,19.33956,19.10073,18.66402,18.58816,18.6467,109,301,4,157,1.40E+18,1.161747,1242,52901,588,QSO
1.24E+18,58.30402353,0.013813652,18.53223,17.24661,16.77493,16.59758,16.50323,109,301,4,158,1.72E+18,4.66E-05,1529,52930,533,STAR
1.24E+18,58.39573625,0.209765911,17.0049,15.36086,14.49837,14.39811,13.7894,109,301,4,158,1.40E+18,0.000613528,1242,52901,633,STAR
1.24E+18,36.65367411,0.631102527,19.4573,18.126,17.62662,17.45301,17.32834,109,301,5,13,3.52E+18,3.63E-06,3127,54835,406,STAR
1.24E+18,37.69012629,0.630372378,19.25001,18.32965,17.98234,17.86072,17.78243,109,301,5,20,8.81E+18,0.000122052,7828,57039,838,STAR
1.24E+18,40.27974075,0.56350918,18.41061,17.24516,17.35439,17.45092,17.5481,109,301,5,37,8.25E+18,0.000436288,7330,56684,941,STAR
1.24E+18,40.35651964,0.586707857,19.15436,18.23266,17.97747,17.89799,17.85765,109,301,5,38,7.64E+18,0.000784786,6782,56572,581,STAR
1.24E+18,40.36591157,0.482156787,18.40755,16.80093,16.25361,16.07363,15.99621,109,301,5,38,8.25E+18,-1.19E-07,7330,56684,992,STAR
1.24E+18,44.22317869,1.051382547,17.91608,16.9998,16.61383,16.46706,16.39825,109,301,6,64,8.80E+18,-0.000435465,7820,56984,742,STAR
1.24E+18,44.24428244,0.913229814,19.388,19.28972,18.97274,18.96854,19.04584,109,301,6,64,4.62E+17,1.117033,410,51877,573,QSO
1.24E+18,44.25540423,1.054976158,19.48185,17.89582,17.25847,17.01245,16.8871,109,301,6,64,3.58E+18,0.000244889,3184,54850,367,STAR
1.24E+18,44.39050298,0.90330611,17.71465,16.20278,15.58864,15.36798,15.23839,109,301,6,65,3.58E+18,-9.82E-05,3184,54850,369,STAR
1.24E+18,44.39308639,0.957840268,18.58106,17.48278,17.08224,16.94469,16.86253,109,301,6,65,1.70E+18,0.000222322,1512,53742,567,STAR
1.24E+18,44.44335144,1.018363676,17.78227,17.62147,17.92135,18.2149,18.49106,109,301,6,65,4.78E+18,0.000145674,4242,55476,913,STAR
1.24E+18,44.45203313,0.914966013,17.74149,16.5935,16.17159,16.02715,15.93656,109,301,6,65,7.97E+17,0.000106858,708,52175,616,STAR
1.24E+18,46.10940404,1.045906047,19.10064,16.8149,15.60841,15.11939,14.75466,109,301,6,76,7.98E+17,0.156453,709,52205,566,GALAXY
1.24E+18,49.29680887,1.047410165,18.5211,16.65724,15.9237,15.48312,15.17295,109,301,6,98,4.65E+17,0.06675781,413,51821,373,GALAXY
1.24E+18,50.91716772,0.901690437,17.56852,16.07338,15.48176,15.28377,15.19522,109,301,6,108,1.71E+18,0.000240085,1516,52933,362,STAR
